Formatted_Date,Referee,HomeTeam,AwayTeam,HY,AY,HR,AR,Yellow_Cards,Red_Cards
19-08-2000,R Harris,Charlton,Man City,1,2,0,0,3,0
19-08-2000,G Barber,Chelsea,West Ham,1,2,0,0,3,0
19-08-2000,B Knight,Coventry,Middlesbrough,5,3,1,0,8,1
19-08-2000,A D'Urso,Derby,Southampton,1,1,0,0,2,0
19-08-2000,D Gallagher,Leeds,Everton,1,3,0,0,4,0
19-08-2000,M Riley,Leicester,Aston Villa,2,3,0,0,5,0
19-08-2000,P Durkin,Liverpool,Bradford,1,1,0,0,2,0
19-08-2000,S Dunn,Sunderland,Arsenal,3,1,0,1,4,1
19-08-2000,A Wiley,Tottenham,Ipswich,0,0,0,0,0,0
20-08-2000,S Lodge,Man United,Newcastle,0,1,0,0,1,0
21-08-2000,G Poll,Arsenal,Liverpool,2,4,1,2,6,3
22-08-2000,M Halsey,Bradford,Chelsea,0,1,0,0,1,0
22-08-2000,J Winter,Ipswich,Man United,1,4,0,0,5,0
22-08-2000,P Jones,Middlesbrough,Tottenham,2,1,0,0,3,0
23-08-2000,A Hall,Everton,Charlton,2,1,0,1,3,1
23-08-2000,D Ellaray,Man City,Sunderland,3,3,0,0,6,0
23-08-2000,D Gallagher,Newcastle,Derby,0,3,1,0,3,1
23-08-2000,F Taylor,Southampton,Coventry,5,3,0,0,8,0
23-08-2000,R Styles,West Ham,Leicester,3,3,1,0,6,1
26-08-2000,S Lodge,Arsenal,Charlton,0,1,0,0,1,0
26-08-2000,S Bennett,Bradford,Leicester,1,2,0,0,3,0
26-08-2000,M Riley,Everton,Derby,2,3,0,0,5,0
26-08-2000,G Poll,Ipswich,Sunderland,1,1,0,0,2,0
26-08-2000,A D'Urso,Man City,Coventry,2,3,0,0,5,0
26-08-2000,G Barber,Middlesbrough,Leeds,2,0,0,0,2,0
26-08-2000,D Ellaray,Newcastle,Tottenham,0,0,0,0,0,0
26-08-2000,J Winter,Southampton,Liverpool,0,0,0,0,0,0
26-08-2000,D Gallagher,West Ham,Man United,1,0,0,0,1,0
27-08-2000,P Durkin,Aston Villa,Chelsea,0,1,0,0,1,0
05-09-2000,G Poll,Leeds,Man City,2,2,0,0,4,0
05-09-2000,I Harris,Man United,Bradford,0,1,0,0,1,0
05-09-2000,P Jones,Sunderland,West Ham,2,3,0,0,5,0
05-09-2000,B Knight,Tottenham,Everton,1,2,0,0,3,0
06-09-2000,M Halsey,Charlton,Southampton,3,3,1,0,6,1
06-09-2000,M Riley,Chelsea,Arsenal,3,1,0,0,4,0
06-09-2000,A Wiley,Coventry,Newcastle,1,1,0,0,2,0
06-09-2000,R Styles,Derby,Middlesbrough,3,2,0,0,5,0
06-09-2000,P Taylor,Leicester,Ipswich,1,1,0,0,2,0
